word	pos	meaning	unit	source	textbook_page	note
a bar of	phrase	一块；一条	M3U3	word_list	74	
a bottle of	phrase	一瓶……	M3U3	word_list	74	
a bowl of	phrase	一碗……	M3U3	word_list	74	
a loaf of (bread)	phrase	一条（面包）	M3U3	word_list	74	
a lot of	phrase	许多	M3U1	word_list	74	
a packet of	phrase	一包……	M3U3	word_list	74	
afraid	adj.	害怕的	M2U2	word_list	74	
always	adv.	总是	M4U3	word_list	74	
April	n.	四月	M4U3	word_list	74	
around	prep.	在……周围	M3U2	word_list	74	
August	n.	八月	M4U3	word_list	74	
aunt	n.	姑母；姨母；舅母；婶婶	M2U1	word_list	74	
Australia	n.	澳大利亚	M4U3	word_list	74	
aviary	n.	鸟舍	M4U2	word_list	74	
back	adv.	回来	M1U3	word_list	74	
bakery	n.	面包房	M3U2	word_list	74	
behind	prep.	在……后面	M3U1	word_list	74	
beside	prep.	在……旁边	M4U2	word_list	74	
best wishes	phrase	最好的祝愿	M4U3	word_list	74	
between	prep.	在……中间	M3U2	word_list	74	
bin	n.	垃圾箱	M4U1	word_list	74	
bird	n.	鸟	M1U2	word_list	74	
biscuit	n.	饼干	M1U3	word_list	74	
bite	v.	咬	M2U3	word_list	74	
blouse	n.	女式衬衫	M2U3	word_list	74	
bookshelf	n.	书架	M3U1	word_list	74	
both	det.	两个都	M1U2	word_list	74	
bottle	n.	瓶；瓶子	M1U3	word_list	74	
bowl	n.	碗	M3U3	word_list	74	
bright	adj.	明亮的	M1U3	word_list	74	
building	n.	大楼；建筑物	M3U1	word_list	74	
bus	n.	公共汽车	M2U2	word_list	74	
bus driver	n.	公交车司机	M2U2	word_list	74	
busy	adj.	忙碌的	M3U1	word_list	74	
camera	n.	照相机	M4U2	word_list	74	
canteen	n.	食堂	M3U1	word_list	74	
cap	n.	（有帽舌的）帽子	M4U2	word_list	74	
centre	n.	中心	M3U2	word_list	74	
China	n.	中国	M4U3	word_list	74	
chocolate	n.	巧克力	M3U3	word_list	74	
Christmas	n.	圣诞节	M4U3	word_list	74	
city	n.	城市	M3U2	word_list	74	
classmate	n.	同学	M1U1	word_list	74	
clean	adj.	干净的	M3U1	word_list	74	
climb	v.	爬	M1U2	word_list	74	
cloud	n.	云	M2U1	word_list	74	
cloudy	adj.	多云的	M4U3	word_list	74	
coat	n.	外套	M2U3	word_list	74	
come	v.	来	M4U3	word_list	74	
computer	n.	电脑；计算机	M3U1	word_list	74	
computer lab	phrase	电脑房	M3U1	word_list	74	
cook	n.	厨师	M2U2	word_list	74	
cool	adj.	酷的；妙极的	M2U1	word_list	74	
corn	n.	谷物	M4U1	word_list	74	
corner	n.	街角；拐角	M3U2	word_list	74	
cousin	n.	表兄妹；堂兄妹	M2U1	word_list	74	
cow	n.	母牛；奶牛	M4U1	word_list	74	
crisp	n.	薯片	M1U2	word_list	75	
crow	n.	乌鸦	M1U3	word_list	75	
cupboard	n.	橱柜	M3U1	word_list	75	
dangerous	adj.	危险的	M2U2	word_list	75	
December	n.	十二月	M4U3	word_list	75	
desk	n.	课桌	M1U1	word_list	75	
dish	n.	碟子	M2U1	word_list	75	
dive	v.	跳水	M2U1	word_list	75	
doctor	n.	医生	M2U2	word_list	75	
dolphin	n.	海豚	M1U2	word_list	75	
draw	v.	绘画	M1U2	word_list	75	
dress	n.	裙子	M2U2	word_list	75	
drink	v.	喝	M1U3	word_list	75	
driver	n.	驾驶员	M2U2	word_list	75	
dry	adj.	干燥的	M1U3	word_list	75	
duck	n.	鸭子	M4U1	word_list	75	
each other	phrase	互相	M1U3	word_list	75	
eleven	num.	十一	M1U1	word_list	75	
e-mail	n.	电子邮件	M4U3	word_list	75	
every	det.	每一个	M1U1	word_list	75	
everyone	pron.	每人；大家	M1U2	word_list	75	
fall	v.	掉落	M4U3	word_list	75	
far away	phrase	距离远	M4U2	word_list	75	
farm	n.	农场	M4U1	word_list	75	
fast	adv.	快；快速	M1U2	word_list	75	
February	n.	二月	M4U3	word_list	75	
feed	v.	喂养	M4U1	word_list	75	
fifteen	num.	十五	M1U1	word_list	75	
fire	n.	火	M2U2	word_list	75	
fire engine	n.	消防车	M2U2	word_list	75	
firefighter	n.	消防员	M2U2	word_list	75	
fire station	n.	消防站	M2U2	word_list	75	
fish	n.	鱼	M2U1	word_list	75	
floor	n.	楼层	M3U1	word_list	75	
fly	v.	飞	M1U2	word_list	75	
forest	n.	森林	M3U1	word_list	75	
fountain	n.	喷泉	M4U2	word_list	75	
fourteen	num.	十四	M1U1	word_list	75	
friend	n.	朋友	M2U3	word_list	75	
full	adj.	饱的	M1U3	word_list	75	
garden	n.	花园	M2U1	word_list	75	
glasses	n. (pl.)	眼镜	M3U3	word_list	75	
grandpa	n.	（外）祖父；爷爷；外公	M3U1	word_list	75	
grass	n.	草；草地	M4U1	word_list	75	
grey	adj.	灰色的	M2U3	word_list	75	
guest	n.	嘉宾；客人	M1U2	word_list	75	
gym	n.	体育馆	M3U1	word_list	75	
happy	adj.	快乐的	M1U3	word_list	75	
have a look	phrase	看一看	M4U2	word_list	75	
have lunch	phrase	吃午餐	M3U1	word_list	75	
hay	n.	干草	M4U1	word_list	75	
hen	n.	母鸡	M4U1	word_list	75	
her	det.	她的	M1U1	word_list	75	同词另有 pron. 用法
her	pron.	她（宾格）	M1U2	word_list	75	同词另有 det. 用法
high	adv.	高；在高处	M1U2	word_list	75	
his	det.	他的	M1U1	word_list	75	
home	adv.	到家	M1U3	word_list	75	
hop	v.	单脚跳行	M1U2	word_list	75	
hot	adj.	热的	M4U3	word_list	75	
hotel	n.	旅馆	M3U2	word_list	75	
hungry	adj.	饿的	M1U3	word_list	76	
idea	n.	主意	M1U3	word_list	76	
in front of	prep.	在前面	M3U1	word_list	76	
interview	n.	访问；采访	M1U2	word_list	76	
January	n.	一月	M4U3	word_list	76	
jeans	n. (pl.)	牛仔裤	M2U3	word_list	76	
job	n.	工作	M2U2	word_list	76	
July	n.	七月	M4U3	word_list	76	
jump	v.	跳	M1U2	word_list	76	
June	n.	六月	M4U3	word_list	76	
lamp post	n.	路灯柱	M1U3	word_list	76	
lesson	n.	课	M3U1	word_list	76	
light	n.	（灯）光	M3U2	word_list	76	
litter	v.	乱扔（垃圾）	M4U1	word_list	76	
live	v.	居住	M1U1	word_list	76	
lunch	n.	午餐	M3U1	word_list	76	
magic	adj.	有魔力的	M3U3	word_list	76	
make phone calls	phrase	打电话	M4U3	word_list	76	
man	n.	男子	M2U1	word_list	76	
many	det.	许多	M3U2	word_list	76	
map	n.	地图	M4U2	word_list	76	
March	n.	三月	M4U3	word_list	76	
mask	n.	面具	M1U1	word_list	76	
May	n.	五月	M4U3	word_list	76	
meat	n.	肉	M4U1	word_list	76	
meet	v.	遇见	M1U1	word_list	76	
mole	n.	鼹鼠	M3U3	word_list	76	
mooncake	n.	月饼	M2U1	word_list	76	
near	prep.	在……附近；靠近	M1U1	word_list	76	
net	n.	网	M2U3	word_list	76	
new	adj.	新的	M1U3	word_list	76	
next to	prep.	紧邻；在近旁	M3U2	word_list	76	
noodle	n.	面条	M3U3	word_list	76	
November	n.	十一月	M4U3	word_list	76	
number	n.	号码	M1U1	word_list	76	
nurse	n.	护士	M2U2	word_list	76	
October	n.	十月	M4U3	word_list	76	
office	n.	办公室	M3U1	word_list	76	
other	adj.	其他的	M3U2	word_list	76	
outside	prep.	在……外面	M4U1	word_list	76	
paint	v.	用颜料画画	M1U2	word_list	76	
panda	n.	熊猫	M3U3	word_list	76	
path	n.	小径	M4U3	word_list	76	
pebble	n.	砾石；鹅卵石	M1U3	word_list	76	
pen	n.	圈；畜栏	M4U1	word_list	76	
people	n.	人们	M2U2	word_list	76	
pick	v.	采；摘	M4U1	word_list	76	
picture	n.	照片；图画	M1U2	word_list	76	
pink	adj.	粉红色的	M2U3	word_list	76	
pleasure	n.	乐事	M3U2	word_list	76	
police officer	n.	警察	M2U1	word_list	76	
police station	phrase	警察局	M3U2	word_list	76	
pond	n.	池塘	M4U2	word_list	76	
post office	n.	邮政局	M3U2	word_list	76	
postcard	n.	明信片	M3U2	word_list	76	
postman	n.	邮递员	M1U3	word_list	76	
princess	n.	公主	M2U2	word_list	76	
put on	phrase	戴上；穿上	M3U3	word_list	76	
rabbit	n.	兔子	M3U1	word_list	77	
rainy	adj.	多雨的	M4U3	word_list	77	
read	v.	阅读	M1U2	word_list	77	
receive	v.	收到；接到	M4U3	word_list	77	
restaurant	n.	餐馆	M3U2	word_list	77	
riddle	n.	谜语	M2U1	word_list	77	
right	adj.	对的；正确的	M2U1	word_list	77	
road	n.	道路	M3U2	word_list	77	
rubbish	n.	垃圾	M4U1	word_list	77	
run	v.	跑；跑步	M1U2	word_list	77	
sad	adj.	难过的	M1U3	word_list	77	
section	n.	部分；部门	M3U3	word_list	77	
send	v.	寄（信等）	M3U2	word_list	77	
September	n.	九月	M4U3	word_list	77	
sharp	adj.	锋利的	M2U3	word_list	77	
shine	v.	照耀	M4U3	word_list	77	
shirt	n.	衬衫	M2U3	word_list	77	
shop	n.	商店	M3U2	word_list	77	
shorts	n. (pl.)	短裤	M2U3	word_list	77	
