legacy_course_id	target_course_id	course_scope	course_version	result_count	formal_count	test_count
S01D01	legacy-streamlit/S01D01	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D02	legacy-streamlit/S01D02	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D03	legacy-streamlit/S01D03	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D04	legacy-streamlit/S01D04	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D05	legacy-streamlit/S01D05	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D06	legacy-streamlit/S01D06	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D07	legacy-streamlit/S01D07	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D08	legacy-streamlit/S01D08	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D09	legacy-streamlit/S01D09	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D10	legacy-streamlit/S01D10	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D11	legacy-streamlit/S01D11	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D12	legacy-streamlit/S01D12	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D13	legacy-streamlit/S01D13	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D14	legacy-streamlit/S01D14	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D15	legacy-streamlit/S01D15	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D16	legacy-streamlit/S01D16	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D17	legacy-streamlit/S01D17	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D18	legacy-streamlit/S01D18	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D19	legacy-streamlit/S01D19	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D20	legacy-streamlit/S01D20	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D21	legacy-streamlit/S01D21	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D22	legacy-streamlit/S01D22	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D23	legacy-streamlit/S01D23	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D24	legacy-streamlit/S01D24	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D25	legacy-streamlit/S01D25	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D26	legacy-streamlit/S01D26	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D27	legacy-streamlit/S01D27	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D28	legacy-streamlit/S01D28	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D29	legacy-streamlit/S01D29	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D30	legacy-streamlit/S01D30	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D31	legacy-streamlit/S01D31	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D32	legacy-streamlit/S01D32	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D33	legacy-streamlit/S01D33	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D34	legacy-streamlit/S01D34	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D35	legacy-streamlit/S01D35	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
S01D36	legacy-streamlit/S01D36	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
S01D37	legacy-streamlit/S01D37	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D38	legacy-streamlit/S01D38	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
S01D39	S01D39	current-equivalent	legacy-streamlit@16ca371ee0ef	1	1	0
S01D40	S01D40	current-equivalent	legacy-streamlit@16ca371ee0ef	3	3	0
S01D41	S01D41	current-equivalent	legacy-streamlit@16ca371ee0ef	1	1	0
S01D42	S01D42	current-equivalent	legacy-streamlit@16ca371ee0ef	2	2	0
S01D43	S01D43	current-equivalent	legacy-streamlit@16ca371ee0ef	2	2	0
W01D01	legacy-streamlit/W01D01	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
W01D02	legacy-streamlit/W01D02	legacy-only	legacy-streamlit@16ca371ee0ef	2	1	1
W01D03	legacy-streamlit/W01D03	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D04	legacy-streamlit/W01D04	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D05	legacy-streamlit/W01D05	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D06	legacy-streamlit/W01D06	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D07	legacy-streamlit/W01D07	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D08	legacy-streamlit/W01D08	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D09	legacy-streamlit/W01D09	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D10	legacy-streamlit/W01D10	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D11	legacy-streamlit/W01D11	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D12	legacy-streamlit/W01D12	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
